Time X Y
0.0 25.2 24.8
1.0 25.4 25.2
2.0 25.8 25.2
3.0 26.2 25.4
4.0 26.2 25.8
5.0 26.4 26.2
6.0 26.8 26.2
7.0 27.2 26.4
8.0 27.2 26.8
9.0 27.4 27.2
10.0 27.8 27.2
11.0 28.2 27.4
12.0 28.2 27.8
13.0 28.4 28.2
14.0 28.8 28.2
15.0 29.2 28.4
16.0 29.2 28.8
17.0 29.4 29.2
18.0 29.8 29.2
19.0 30.2 29.4
20.0 30.2 29.8
21.0 30.4 30.2
22.0 30.8 30.2
23.0 31.2 30.4
24.0 31.2 30.8
25.0 31.4 31.2
26.0 31.8 31.2
27.0 32.2 31.4
28.0 32.2 31.8
29.0 32.4 32.2
30.0 32.8 32.2
31.0 33.2 32.4
32.0 33.2 32.8
33.0 33.4 33.2
34.0 33.8 33.2
35.0 34.2 33.4
36.0 34.2 33.8
37.0 34.4 34.2
38.0 34.8 34.2
39.0 35.2 34.4
40.0 35.2 34.8
41.0 35.4 35.2
42.0 35.8 35.2
43.0 36.2 35.4
44.0 36.2 35.8
45.0 36.4 36.2
46.0 36.8 36.2
47.0 37.2 36.4
48.0 37.2 36.8
49.0 37.4 37.2
50.0 37.8 37.2
51.0 38.2 37.4
52.0 38.2 37.8
53.0 38.4 38.2
54.0 38.8 38.2
55.0 39.2 38.4
56.0 39.2 38.8
57.0 39.4 39.2
58.0 39.8 39.2
59.0 40.2 39.4
60.0 40.2 39.8
61.0 40.4 40.2
62.0 40.8 40.2
63.0 41.2 40.4
64.0 41.2 40.8
65.0 41.4 41.2
66.0 41.8 41.2
67.0 42.2 41.4
68.0 42.2 41.8
69.0 42.4 42.2
70.0 42.8 42.2
71.0 43.2 42.4
72.0 43.2 42.8
73.0 43.4 43.2
74.0 43.8 43.2
75.0 44.2 43.4
76.0 44.2 43.8
77.0 44.4 44.2
78.0 44.8 44.2
79.0 45.2 44.4
80.0 45.2 44.8
81.0 45.4 45.2
82.0 45.8 45.2
83.0 46.2 45.4
84.0 46.2 45.8
85.0 46.4 46.2
86.0 46.8 46.2
87.0 47.2 46.4
88.0 47.2 46.8
89.0 47.4 47.2
108.0 2.2 1.8
109.0 2.4 2.2
110.0 2.8 2.2
111.0 3.2 2.4
112.0 3.2 2.8
113.0 3.4 3.2
114.0 3.8 3.2
115.0 4.2 3.4
116.0 4.2 3.8
117.0 4.4 4.2
118.0 4.8 4.2
119.0 5.2 4.4
120.0 5.2 4.8
121.0 5.4 5.2
122.0 5.8 5.2
123.0 6.2 5.4
124.0 6.2 5.8
125.0 6.4 6.2
126.0 6.8 6.2
127.0 7.2 6.4
128.0 7.2 6.8
129.0 7.4 7.2
130.0 7.8 7.2
131.0 8.2 7.4
132.0 8.2 7.8
133.0 8.4 8.2
134.0 8.8 8.2
135.0 9.2 8.4
136.0 9.2 8.8
137.0 9.4 9.2
138.0 9.8 9.2
139.0 10.2 9.4
140.0 10.2 9.8
141.0 10.4 10.2
142.0 10.8 10.2
143.0 11.2 10.4
144.0 11.2 10.8
145.0 11.4 11.2
146.0 11.8 11.2
147.0 12.2 11.4
148.0 12.2 11.8
149.0 12.4 12.2
150.0 12.8 12.2
151.0 13.2 12.4
152.0 13.2 12.8
153.0 13.4 13.2
154.0 13.8 13.2
155.0 14.2 13.4
156.0 14.2 13.8
157.0 14.4 14.2
158.0 14.8 14.2
159.0 15.2 14.4
160.0 15.2 14.8
161.0 15.4 15.2
162.0 15.8 15.2
163.0 16.2 15.4
164.0 16.2 15.8
165.0 16.4 16.2
166.0 16.8 16.2
167.0 17.2 16.4
168.0 17.2 16.8
169.0 17.4 17.2
170.0 17.8 17.2
171.0 18.2 17.4
172.0 18.2 17.8
173.0 18.4 18.2
174.0 18.8 18.2
175.0 19.2 18.4
176.0 19.2 18.8
177.0 19.4 19.2
178.0 19.8 19.2
179.0 20.2 19.4
180.0 20.2 19.8
181.0 20.4 20.2
182.0 20.8 20.2
183.0 21.2 20.4
184.0 21.2 20.8
185.0 21.4 21.2
186.0 21.8 21.2
187.0 22.2 21.4
188.0 22.2 21.8
189.0 22.4 22.2
190.0 22.8 22.2
191.0 23.2 22.4
192.0 23.2 22.8
193.0 23.4 23.2
194.0 23.8 23.2
195.0 24.2 23.4
196.0 24.2 23.8
197.0 24.4 24.2
198.0 24.8 24.2
199.0 25.2 24.4
200.0 25.2 24.8
201.0 25.4 25.2
202.0 25.8 25.2
203.0 26.2 25.4
204.0 26.2 25.8
205.0 26.4 26.2
206.0 26.8 26.2
207.0 27.2 26.4
208.0 27.2 26.8
209.0 27.4 27.2
210.0 27.8 27.2
211.0 28.2 27.4
212.0 28.2 27.8
213.0 28.4 28.2
214.0 28.8 28.2
215.0 29.2 28.4
216.0 29.2 28.8
217.0 29.4 29.2
218.0 29.8 29.2
219.0 30.2 29.4
220.0 30.2 29.8
221.0 30.4 30.2
222.0 30.8 30.2
223.0 31.2 30.4
224.0 31.2 30.8
225.0 31.4 31.2
226.0 31.8 31.2
227.0 32.2 31.4
228.0 32.2 31.8
229.0 32.4 32.2
230.0 32.8 32.2
231.0 33.2 32.4
232.0 33.2 32.8
233.0 33.4 33.2
234.0 33.8 33.2
235.0 34.2 33.4
236.0 34.2 33.8
237.0 34.4 34.2
238.0 34.8 34.2
239.0 35.2 34.4
240.0 35.2 34.8
241.0 35.4 35.2
242.0 35.8 35.2
243.0 36.2 35.4
244.0 36.2 35.8
245.0 36.4 36.2
246.0 36.8 36.2
247.0 37.2 36.4
248.0 37.2 36.8
249.0 37.4 37.2
250.0 37.8 37.2
251.0 38.2 37.4
252.0 38.2 37.8
253.0 38.4 38.2
254.0 38.8 38.2
255.0 39.2 38.4
256.0 39.2 38.8
257.0 39.4 39.2
258.0 39.8 39.2
259.0 40.2 39.4
260.0 40.2 39.8
261.0 40.4 40.2
262.0 40.8 40.2
263.0 41.2 40.4
264.0 41.2 40.8
265.0 41.4 41.2
266.0 41.8 41.2
267.0 42.2 41.4
268.0 42.2 41.8
269.0 42.4 42.2
270.0 42.8 42.2
271.0 43.2 42.4
272.0 43.2 42.8
273.0 43.4 43.2
274.0 43.8 43.2
275.0 44.2 43.4
276.0 44.2 43.8
277.0 44.4 44.2
278.0 44.8 44.2
279.0 45.2 44.4
280.0 45.2 44.8
281.0 45.4 45.2
282.0 45.8 45.2
283.0 46.2 45.4
284.0 46.2 45.8
285.0 46.4 46.2
286.0 46.8 46.2
287.0 47.2 46.4
288.0 47.2 46.8
289.0 47.4 47.2
308.0 2.2 1.8
309.0 2.4 2.2
310.0 2.8 2.2
311.0 3.2 2.4
312.0 3.2 2.8
313.0 3.4 3.2
314.0 3.8 3.2
315.0 4.2 3.4
316.0 4.2 3.8
317.0 4.4 4.2
318.0 4.8 4.2
319.0 5.2 4.4
320.0 5.2 4.8
321.0 5.4 5.2
322.0 5.8 5.2
323.0 6.2 5.4
324.0 6.2 5.8
325.0 6.4 6.2
326.0 6.8 6.2
327.0 7.2 6.4
328.0 7.2 6.8
329.0 7.4 7.2
330.0 7.8 7.2
331.0 8.2 7.4
332.0 8.2 7.8
333.0 8.4 8.2
334.0 8.8 8.2
335.0 9.2 8.4
336.0 9.2 8.8
337.0 9.4 9.2
338.0 9.8 9.2
339.0 10.2 9.4
340.0 10.2 9.8
341.0 10.4 10.2
342.0 10.8 10.2
343.0 11.2 10.4
344.0 11.2 10.8
345.0 11.4 11.2
346.0 11.8 11.2
347.0 12.2 11.4
348.0 12.2 11.8
349.0 12.4 12.2
350.0 12.8 12.2
351.0 13.2 12.4
352.0 13.2 12.8
353.0 13.4 13.2
354.0 13.8 13.2
355.0 14.2 13.4
356.0 14.2 13.8
357.0 14.4 14.2
358.0 14.8 14.2
359.0 15.2 14.4
360.0 15.2 14.8
361.0 15.4 15.2
362.0 15.8 15.2
363.0 16.2 15.4
364.0 16.2 15.8
365.0 16.4 16.2
366.0 16.8 16.2
367.0 17.2 16.4
368.0 17.2 16.8
369.0 17.4 17.2
370.0 17.8 17.2
371.0 18.2 17.4
372.0 18.2 17.8
373.0 18.4 18.2
374.0 18.8 18.2
375.0 19.2 18.4
376.0 19.2 18.8
377.0 19.4 19.2
378.0 19.8 19.2
379.0 20.2 19.4
380.0 20.2 19.8
381.0 20.4 20.2
382.0 20.8 20.2
383.0 21.2 20.4
384.0 21.2 20.8
385.0 21.4 21.2
386.0 21.8 21.2
387.0 22.2 21.4
388.0 22.2 21.8
389.0 22.4 22.2
390.0 22.8 22.2
391.0 23.2 22.4
392.0 23.2 22.8
393.0 23.4 23.2
394.0 23.8 23.2
395.0 24.2 23.4
396.0 24.2 23.8
397.0 24.4 24.2
398.0 24.8 24.2
399.0 25.2 24.4
400.0 25.2 24.8
401.0 25.4 25.2
402.0 25.8 25.2
403.0 26.2 25.4
404.0 26.2 25.8
405.0 26.4 26.2
406.0 26.8 26.2
407.0 27.2 26.4
408.0 27.2 26.8
409.0 27.4 27.2
410.0 27.8 27.2
411.0 28.2 27.4
412.0 28.2 27.8
413.0 28.4 28.2
414.0 28.8 28.2
415.0 29.2 28.4
416.0 29.2 28.8
417.0 29.4 29.2
418.0 29.8 29.2
419.0 30.2 29.4
420.0 30.2 29.8
421.0 30.4 30.2
422.0 30.8 30.2
423.0 31.2 30.4
424.0 31.2 30.8
425.0 31.4 31.2
426.0 31.8 31.2
427.0 32.2 31.4
428.0 32.2 31.8
429.0 32.4 32.2
430.0 32.8 32.2
431.0 33.2 32.4
432.0 33.2 32.8
433.0 33.4 33.2
434.0 33.8 33.2
435.0 34.2 33.4
436.0 34.2 33.8
437.0 34.4 34.2
438.0 34.8 34.2
439.0 35.2 34.4
440.0 35.2 34.8
441.0 35.4 35.2
442.0 35.8 35.2
443.0 36.2 35.4
444.0 36.2 35.8
445.0 36.4 36.2
446.0 36.8 36.2
447.0 37.2 36.4
448.0 37.2 36.8
449.0 37.4 37.2
450.0 37.8 37.2
451.0 38.2 37.4
452.0 38.2 37.8
453.0 38.4 38.2
454.0 38.8 38.2
455.0 39.2 38.4
456.0 39.2 38.8
457.0 39.4 39.2
