x y
12 24
12 25
12 26
13 24
14 25
14 28
14 29
15 28
15 29
16 24
16 25
17 25
17 26
18 24
18 27
20 26
20 29
21 26
21 30
22 27
22 28
22 29
22 31
23 32
24 12
24 13
24 16
24 18
24 32
25 12
25 14
25 16
25 17
25 31
26 12
26 17
26 20
26 21
26 35
26 36
27 18
27 22
27 29
27 30
27 33
27 34
27 37
28 14
28 15
28 22
28 29
28 32
29 14
29 15
29 20
29 22
29 27
29 28
30 21
30 27
30 31
30 35
31 22
31 25
31 30
31 31
32 23
32 24
32 28
32 34
32 36
33 27
33 36
33 37
34 27
34 32
35 26
35 30
36 26
36 32
36 33
37 27
37 33
