fImm fInf Err
0.0 0.12668190419041908 8.421832465155297e-05
0.01 0.1245468586858686 0.00012726670089800967
0.02 0.1220340514051405 7.160424452150057e-05
0.03 0.11950679467946794 0.00016303643443961186
0.04 0.11811341334133411 0.00016713426334614666
0.05 0.11532695269526952 0.00019132175775106631
0.06 0.11282569456945694 9.899622172376653e-05
0.07 0.11036722672267227 0.0002950953228282332
0.08 0.10764852685268526 0.0001502725702796659
0.09 0.10662612261226123 0.00015028816975706704
0.1 0.10317418741874188 0.0001991146829717175
0.11 0.10153099509950995 0.00021163199232477516
0.12 0.09830874687468746 0.00016340031791456838
0.13 0.09588250225022502 0.00034154148865985287
0.14 0.09261228922892288 0.0004656259792597883
0.15 0.090850601060106 0.0003707730304621661
0.16 0.08733450345034503 0.0003134209153833117
0.17 0.08584873287328734 0.00019678656443553218
0.18 0.08326981298129812 0.00038963512508086796
0.19 0.07990831483148314 0.000529204957548246
0.2 0.07720203620362037 0.0003421931313595706
0.21 0.07595232323232323 0.00016299240670185664
0.22 0.07301592959295929 0.0002279464540474067
0.23 0.07015062906290628 0.0005427409587646638
0.24 0.06692358435843584 0.00034479563955040066
0.25 0.06313309530953096 0.0005301482354501789
0.26 0.059888640864086407 0.0008231928327158243
0.27 0.05755009100910091 0.0006907529770507423
0.28 0.05335817181718172 0.0005506182695450166
0.29 0.050512829282928294 0.0007073180868487718
0.3 0.046232249224922486 0.000988876423441374
0.31 0.042351515151515154 0.00044385799359434274
0.32 0.03887852385238524 0.0010466163041823774
0.33 0.007534803480348034 0.006739333111664082
0.34 0.006101632163216322 0.005457465716260314
0.35000000000000003 0.0 0.0
0.36 0.0 0.0
0.37 0.0 0.0
0.38 0.0 0.0
0.39 0.0 0.0
0.4 0.0 0.0
0.41000000000000003 0.0 0.0
0.42 0.0 0.0
0.43 0.0 0.0
0.44 0.0 0.0
0.45 0.0 0.0
0.46 0.0 0.0
0.47000000000000003 0.0 0.0
0.48 0.0 0.0
0.49 0.0 0.0
0.5 0.0 0.0
0.51 0.0 0.0
0.52 0.0 0.0
0.53 0.0 0.0
0.54 0.0 0.0
0.55 0.0 0.0
0.56 0.0 0.0
0.5700000000000001 0.0 0.0
0.58 0.0 0.0
0.59 0.0 0.0
0.6 0.0 0.0
0.61 0.0 0.0
0.62 0.0 0.0
0.63 0.0 0.0
0.64 0.0 0.0
0.65 0.0 0.0
0.66 0.0 0.0
0.67 0.0 0.0
0.68 0.0 0.0
0.6900000000000001 0.0 0.0
0.7000000000000001 0.0 0.0
0.71 0.0 0.0
0.72 0.0 0.0
0.73 0.0 0.0
0.74 0.0 0.0
0.75 0.0 0.0
0.76 0.0 0.0
0.77 0.0 0.0
0.78 0.0 0.0
0.79 0.0 0.0
0.8 0.0 0.0
0.81 0.0 0.0
0.8200000000000001 0.0 0.0
0.8300000000000001 0.0 0.0
0.84 0.0 0.0
0.85 0.0 0.0
0.86 0.0 0.0
0.87 0.0 0.0
0.88 0.0 0.0
0.89 0.0 0.0
0.9 0.0 0.0
0.91 0.0 0.0
0.92 0.0 0.0
0.93 0.0 0.0
0.9400000000000001 0.0 0.0
0.9500000000000001 0.0 0.0
0.96 0.0 0.0
0.97 0.0 0.0
0.98 0.0 0.0
0.99 0.0 0.0
1.0 0.0 0.0
